date,date_id,year,month,quarter
2011-01-01,1,2011,1,1
2011-01-02,2,2011,1,1
2011-01-03,3,2011,1,1
2011-01-04,4,2011,1,1
2011-01-05,5,2011,1,1
2011-01-06,6,2011,1,1
2011-01-07,7,2011,1,1
2011-01-08,8,2011,1,1
2011-01-09,9,2011,1,1
2011-01-10,10,2011,1,1
2011-01-11,11,2011,1,1
2011-01-12,12,2011,1,1
2011-01-13,13,2011,1,1
2011-01-14,14,2011,1,1
2011-01-15,15,2011,1,1
2011-01-16,16,2011,1,1
2011-01-17,17,2011,1,1
2011-01-18,18,2011,1,1
2011-01-19,19,2011,1,1
2011-01-20,20,2011,1,1
2011-01-21,21,2011,1,1
2011-01-22,22,2011,1,1
2011-01-23,23,2011,1,1
2011-01-24,24,2011,1,1
2011-01-25,25,2011,1,1
2011-01-26,26,2011,1,1
2011-01-27,27,2011,1,1
2011-01-28,28,2011,1,1
2011-01-29,29,2011,1,1
2011-01-30,30,2011,1,1
2011-01-31,31,2011,1,1
2011-02-01,32,2011,2,1
2011-02-02,33,2011,2,1
2011-02-03,34,2011,2,1
2011-02-04,35,2011,2,1
2011-02-05,36,2011,2,1
2011-02-06,37,2011,2,1
2011-02-07,38,2011,2,1
2011-02-08,39,2011,2,1
2011-02-09,40,2011,2,1
2011-02-10,41,2011,2,1
2011-02-11,42,2011,2,1
2011-02-12,43,2011,2,1
2011-02-13,44,2011,2,1
2011-02-14,45,2011,2,1
2011-02-15,46,2011,2,1
2011-02-16,47,2011,2,1
2011-02-17,48,2011,2,1
2011-02-18,49,2011,2,1
2011-02-19,50,2011,2,1
2011-02-21,51,2011,2,1
2011-02-22,52,2011,2,1
2011-02-23,53,2011,2,1
2011-02-24,54,2011,2,1
2011-02-25,55,2011,2,1
2011-02-26,56,2011,2,1
2011-02-27,57,2011,2,1
2011-02-28,58,2011,2,1
2011-03-01,59,2011,3,1
2011-03-02,60,2011,3,1
2011-03-03,61,2011,3,1
2011-03-04,62,2011,3,1
2011-03-05,63,2011,3,1
2011-03-06,64,2011,3,1
2011-03-07,65,2011,3,1
2011-03-08,66,2011,3,1
2011-03-09,67,2011,3,1
2011-03-10,68,2011,3,1
2011-03-11,69,2011,3,1
2011-03-12,70,2011,3,1
2011-03-14,71,2011,3,1
2011-03-15,72,2011,3,1
2011-03-16,73,2011,3,1
2011-03-17,74,2011,3,1
2011-03-18,75,2011,3,1
2011-03-19,76,2011,3,1
2011-03-21,77,2011,3,1
2011-03-22,78,2011,3,1
2011-03-23,79,2011,3,1
2011-03-24,80,2011,3,1
2011-03-25,81,2011,3,1
2011-03-26,82,2011,3,1
2011-03-27,83,2011,3,1
2011-03-28,84,2011,3,1
2011-03-29,85,2011,3,1
2011-03-30,86,2011,3,1
2011-03-31,87,2011,3,1
2011-04-01,88,2011,4,2
2011-04-02,89,2011,4,2
2011-04-03,90,2011,4,2
2011-04-04,91,2011,4,2
2011-04-05,92,2011,4,2
2011-04-06,93,2011,4,2
2011-04-07,94,2011,4,2
2011-04-08,95,2011,4,2
2011-04-09,96,2011,4,2
2011-04-11,97,2011,4,2
2011-04-12,98,2011,4,2
2011-04-13,99,2011,4,2
2011-04-14,100,2011,4,2
2011-04-15,101,2011,4,2
2011-04-16,102,2011,4,2
2011-04-18,103,2011,4,2
2011-04-19,104,2011,4,2
2011-04-20,105,2011,4,2
2011-04-21,106,2011,4,2
2011-04-22,107,2011,4,2
2011-04-23,108,2011,4,2
2011-04-24,109,2011,4,2
2011-04-25,110,2011,4,2
2011-04-26,111,2011,4,2
2011-04-27,112,2011,4,2
2011-04-28,113,2011,4,2
2011-04-29,114,2011,4,2
2011-04-30,115,2011,4,2
2011-05-02,116,2011,5,2
2011-05-03,117,2011,5,2
2011-05-04,118,2011,5,2
2011-05-05,119,2011,5,2
2011-05-06,120,2011,5,2
2011-05-07,121,2011,5,2
2011-05-08,122,2011,5,2
2011-05-09,123,2011,5,2
2011-05-10,124,2011,5,2
2011-05-11,125,2011,5,2
2011-05-12,126,2011,5,2
2011-05-13,127,2011,5,2
2011-05-14,128,2011,5,2
2011-05-15,129,2011,5,2
2011-05-16,130,2011,5,2
2011-05-17,131,2011,5,2
2011-05-18,132,2011,5,2
2011-05-19,133,2011,5,2
2011-05-20,134,2011,5,2
2011-05-21,135,2011,5,2
2011-05-22,136,2011,5,2
2011-05-23,137,2011,5,2
2011-05-24,138,2011,5,2
2011-05-25,139,2011,5,2
2011-05-26,140,2011,5,2
2011-05-27,141,2011,5,2
2011-05-28,142,2011,5,2
2011-05-30,143,2011,5,2
2011-05-31,144,2011,5,2
2011-06-01,145,2011,6,2
2011-06-02,146,2011,6,2
2011-06-03,147,2011,6,2
2011-06-04,148,2011,6,2
2011-06-05,149,2011,6,2
2011-06-06,150,2011,6,2
2011-06-07,151,2011,6,2
2011-06-08,152,2011,6,2
2011-06-09,153,2011,6,2
2011-06-10,154,2011,6,2
2011-06-11,155,2011,6,2
2011-06-12,156,2011,6,2
2011-06-13,157,2011,6,2
2011-06-14,158,2011,6,2
2011-06-15,159,2011,6,2
2011-06-16,160,2011,6,2
2011-06-17,161,2011,6,2
2011-06-18,162,2011,6,2
2011-06-19,163,2011,6,2
2011-06-20,164,2011,6,2
2011-06-21,165,2011,6,2
2011-06-22,166,2011,6,2
2011-06-23,167,2011,6,2
2011-06-24,168,2011,6,2
2011-06-25,169,2011,6,2
2011-06-26,170,2011,6,2
2011-06-27,171,2011,6,2
2011-06-28,172,2011,6,2
2011-06-29,173,2011,6,2
2011-06-30,174,2011,6,2
2011-07-01,175,2011,7,3
2011-07-02,176,2011,7,3
2011-07-04,177,2011,7,3
2011-07-05,178,2011,7,3
2011-07-06,179,2011,7,3
2011-07-07,180,2011,7,3
2011-07-08,181,2011,7,3
2011-07-09,182,2011,7,3
2011-07-11,183,2011,7,3
2011-07-12,184,2011,7,3
2011-07-13,185,2011,7,3
2011-07-14,186,2011,7,3
2011-07-15,187,2011,7,3
2011-07-16,188,2011,7,3
2011-07-17,189,2011,7,3
2011-07-18,190,2011,7,3
2011-07-19,191,2011,7,3
2011-07-20,192,2011,7,3
2011-07-21,193,2011,7,3
2011-07-22,194,2011,7,3
2011-07-23,195,2011,7,3
2011-07-24,196,2011,7,3
2011-07-25,197,2011,7,3
2011-07-26,198,2011,7,3
2011-07-27,199,2011,7,3
2011-07-28,200,2011,7,3
2011-07-29,201,2011,7,3
2011-07-30,202,2011,7,3
2011-07-31,203,2011,7,3
2011-08-01,204,2011,8,3
2011-08-02,205,2011,8,3
2011-08-03,206,2011,8,3
2011-08-04,207,2011,8,3
2011-08-05,208,2011,8,3
2011-08-06,209,2011,8,3
2011-08-07,210,2011,8,3
2011-08-08,211,2011,8,3
2011-08-09,212,2011,8,3
2011-08-10,213,2011,8,3
2011-08-11,214,2011,8,3
2011-08-12,215,2011,8,3
2011-08-13,216,2011,8,3
2011-08-15,217,2011,8,3
2011-08-16,218,2011,8,3
2011-08-17,219,2011,8,3
2011-08-18,220,2011,8,3
2011-08-19,221,2011,8,3
2011-08-20,222,2011,8,3
2011-08-21,223,2011,8,3
2011-08-22,224,2011,8,3
2011-08-23,225,2011,8,3
2011-08-24,226,2011,8,3
2011-08-25,227,2011,8,3
2011-08-26,228,2011,8,3
2011-08-27,229,2011,8,3
2011-08-29,230,2011,8,3
2011-08-30,231,2011,8,3
2011-08-31,232,2011,8,3
2011-09-01,233,2011,9,3
2011-09-02,234,2011,9,3
2011-09-03,235,2011,9,3
2011-09-05,236,2011,9,3
2011-09-06,237,2011,9,3
2011-09-07,238,2011,9,3
2011-09-08,239,2011,9,3
2011-09-09,240,2011,9,3
2011-09-10,241,2011,9,3
2011-09-11,242,2011,9,3
2011-09-12,243,2011,9,3
2011-09-13,244,2011,9,3
2011-09-14,245,2011,9,3
2011-09-15,246,2011,9,3
2011-09-16,247,2011,9,3
2011-09-17,248,2011,9,3
2011-09-18,249,2011,9,3
2011-09-19,250,2011,9,3
2011-09-20,251,2011,9,3
2011-09-21,252,2011,9,3
2011-09-22,253,2011,9,3
2011-09-23,254,2011,9,3
2011-09-24,255,2011,9,3
2011-09-25,256,2011,9,3
2011-09-26,257,2011,9,3
2011-09-27,258,2011,9,3
2011-09-28,259,2011,9,3
2011-09-29,260,2011,9,3
2011-09-30,261,2011,9,3
2011-10-01,262,2011,10,4
2011-10-02,263,2011,10,4
2011-10-03,264,2011,10,4
2011-10-04,265,2011,10,4
2011-10-05,266,2011,10,4
2011-10-06,267,2011,10,4
2011-10-07,268,2011,10,4
2011-10-08,269,2011,10,4
2011-10-09,270,2011,10,4
2011-10-10,271,2011,10,4
2011-10-11,272,2011,10,4
2011-10-12,273,2011,10,4
2011-10-13,274,2011,10,4
