Order ID,Customer ID,Product ID,date_id,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
CA-2012-124891,RH-19495,TEC-AC-10003033,556,2309.65,7,0.0,762.1845,933.57,Critical
IN-2013-77878,JR-16210,FUR-CH-10003950,745,3709.395,9,0.1,-288.765,923.63,Critical
IN-2013-71249,CR-12730,TEC-PH-10004664,995,5175.171,9,0.1,919.971,915.49,Medium
ES-2013-1579342,KM-16375,TEC-PH-10004583,737,2892.51,5,0.1,-96.54,910.16,Medium
SG-2013-4320,RH-9495,TEC-SHA-10000501,1013,2832.96,8,0.0,311.52,903.04,Critical
IN-2013-42360,JM-15655,TEC-PH-10000030,884,2862.675,5,0.1,763.275,897.35,Critical
IN-2011-81826,TS-21340,FUR-CH-10004050,298,1822.08,4,0.0,564.84,894.77,Critical
IN-2012-86369,MB-18085,FUR-TA-10002958,449,5244.84,6,0.0,996.48,878.38,High
CA-2012-116638,JH-15985,FUR-TA-10000198,377,4297.644,13,0.4,-1862.3124,865.74,Critical
CA-2011-102988,GM-14695,OFF-SU-10002881,92,4164.05,5,0.0,83.281,846.54,High
ID-2012-28402,AJ-10780,FUR-TA-10001889,454,4626.15,5,0.0,647.55,835.57,High
SA-2011-1830,MM-7260,TEC-CIS-10001717,347,2616.96,4,0.0,1151.4,832.41,Critical
MX-2012-130015,VF-21715,FUR-CH-10002033,661,2221.8,7,0.0,622.02,810.25,Critical
IN-2013-73951,PF-19120,OFF-AP-10003500,862,3701.52,12,0.0,1036.08,804.54,Critical
PL-2012-7820,AB-600,FUR-HON-10000224,564,1977.72,4,0.0,276.84,759.47,Critical
CA-2011-154627,SA-20830,TEC-PH-10001363,289,2735.952,6,0.2,341.994,752.51,High
IN-2011-44803,JK-15325,FUR-CH-10000027,116,2754.0,6,0.0,358.02,752.47,Critical
ES-2013-2860574,LB-16795,OFF-AP-10003590,765,5273.7,10,0.0,1898.4,730.91,High
IN-2011-10286,PB-19210,FUR-TA-10004744,338,1715.16,2,0.0,720.36,725.57,Critical
ES-2011-4699764,EB-14110,OFF-AP-10004512,71,3069.738,6,0.1,1364.238,725.34,Critical
CA-2013-159016,KF-16285,TEC-PH-10002885,777,4158.912,8,0.2,363.9048,714.66,High
IN-2012-44810,BP-11230,FUR-CH-10001415,405,1878.72,4,0.0,582.36,704.08,Critical
US-2011-128776,RR-19525,TEC-PH-10002815,348,1696.64,5,0.2,-148.46,704.06,Critical
ES-2012-5870268,BS-11365,TEC-MA-10000161,543,2402.865,9,0.15,763.155,699.55,Critical
CA-2012-139731,JE-15745,FUR-CH-10002024,632,2453.43,5,0.3,-350.49,690.42,High
IN-2011-28087,DP-13105,OFF-AP-10004246,294,2526.93,5,0.1,561.48,689.8,Critical
CA-2011-168494,NP-18700,FUR-TA-10003473,333,3610.848,12,0.2,135.4068,683.12,High
CG-2011-8610,AH-30,TEC-APP-10000308,245,3817.26,6,0.0,1068.66,678.15,High
CA-2011-160766,DM-13015,TEC-MA-10003979,245,2799.96,4,0.0,1371.9804,675.15,High
IN-2011-61302,DL-12865,TEC-PH-10004664,10,2875.095,5,0.1,511.095,665.27,Medium
ID-2013-63976,JB-16000,TEC-PH-10000499,939,3200.5962,6,0.17,-77.2038,660.87,High
ES-2012-5877219,GT-14710,TEC-PH-10004583,691,5785.02,9,0.0,404.73,656.73,High
IT-2011-3183678,ZC-21910,OFF-AP-10000486,254,3018.624,7,0.2,377.244,655.91,Critical
CA-2011-116904,SC-20095,OFF-BI-10001120,254,9449.95,5,0.0,4630.4755,655.61,Medium
IT-2013-3085011,EB-13840,FUR-CH-10003365,774,2092.5,5,0.1,720.75,652.98,Critical
US-2012-163825,LC-16885,OFF-BI-10003527,512,3050.376,3,0.2,1143.891,632.05,High
IN-2011-10286,PB-19210,FUR-BO-10001372,338,2197.5,5,0.0,153.75,627.27,Critical
MZ-2013-3690,DG-3300,TEC-MOT-10002272,1056,2582.16,4,0.0,593.88,627.17,High
IN-2012-66342,SG-20470,TEC-CO-10004997,495,1526.52,4,0.0,732.72,625.77,Critical
CA-2012-111829,FH-14365,TEC-CO-10001766,425,3149.93,7,0.0,1480.4671,617.92,High
IN-2012-48240,GP-14740,FUR-TA-10000226,490,1745.34,2,0.0,226.86,616.27,Critical
